Time,ATCC,ADK,ARK,BAY,BCC,BTS,BTC,BCH,BTCD,BDL,BLK,BLOCK,BURST,GBYTE,BCN,CLAM,CLOAK,CMP,XCP,CRW,DCT,DASH,DCR,DMD,DGB,XDN,DOGE,ECN,EMC2,XEL,EMC,ENRG,ETH,ETC,EXP,FCT,FAIR,FRST,GXS,GAM,GAME,GOLOS,GRC,GRS,NLG,HSR,IOC,ION,MIOTA,KMD,LBC,LEO,LSK,LTC,LKK,ETP,MONA,XMR,MUE,MOON,NAV,XEM,NEO,NMC,NEBL,NXS,NLC2,NXT,OK,OMNI,PIVX,PART,PPC,POT,RADS,RDD,XRP,RISE,RBY,SIB,SLS,SHIFT,SC,SKY,SPR,SPRTS,STEEM,XLM,STRAT,SYS,TCC,UBQ,UNO,XVG,VTC,VIA,WAVES,XZC,ZEC,ZEN
2014-01-25,0,0,0,0,0,0,0,0,0,0,9799920000,0,0,0,0,0,0,0,0,0,0,0,166988,63241800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520190000,0,0,874631,0,0,0,0,0,0,38761400,0,69868400,0,77497300,0,0,0,102540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538166,0,453116,0,0,0,0,0,0,0,141560000,0,0,0,0
2014-01-26,0,0,0,0,0,0,0,0,0,0,10510400000,0,0,0,0,0,0,0,0,0,0,0,220417,66670100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583587000,0,0,4409800,0,0,0,0,0,0,46442700,0,73057800,0,87853800,0,0,0,125252000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544856,0,411888,0,0,0,0,0,0,0,149573000,0,0,0,0
2014-01-27,0,0,0,0,0,0,0,0,0,0,10894400000,0,0,0,0,0,0,0,0,0,0,0,174589,58676000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607439000,0,0,4583520,0,0,0,0,0,0,48392800,0,77968400,0,81590200,0,0,0,127021000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520706,0,400787,0,0,0,0,0,0,0,157241000,0,0,0,0
2014-01-28,0,0,0,0,0,0,0,0,0,0,9535950000,0,0,0,0,0,0,0,0,0,0,0,191455,45943000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506991000,0,0,3824280,0,0,0,0,0,0,39405800,0,67138400,0,86388100,0,0,0,103488000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457819,0,445996,0,0,0,0,0,0,0,151368000,0,0,0,0
2014-01-29,0,0,0,0,0,0,0,0,0,0,9981850000,0,0,0,0,0,0,0,0,0,0,0,207728,51737400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540424000,0,0,3490320,0,0,0,0,0,0,41211100,0,68982600,0,78098800,0,0,0,107797000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484789,0,483140,0,0,0,0,0,0,0,160584000,0,0,0,0
2014-01-30,0,0,0,0,0,0,0,0,0,0,10182900000,0,0,0,0,0,0,0,0,0,0,0,157169,62452400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553665000,0,0,2538110,0,0,0,0,0,0,41612000,0,62809600,0,76672200,0,0,0,111347000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,503059,0,417532,0,0,0,0,0,0,0,158906000,0,0,0,0
2014-01-31,0,0,0,0,0,0,0,0,0,0,10092900000,0,0,0,0,0,0,0,0,0,0,0,172316,60477400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547740000,0,0,2643150,0,0,0,0,0,0,41921700,0,62200600,0,69978100,0,0,0,113793000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534029,0,441643,0,0,0,0,0,0,0,158873000,0,0,0,0
2014-02-01,0,0,0,0,0,0,0,0,0,0,10222300000,0,0,0,0,0,0,0,0,0,0,0,176173,63019600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559715000,0,0,2792900,0,0,0,0,0,0,45244700,0,60745300,0,78955000,0,0,0,126591000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,555989,0,447682,0,0,0,0,0,0,0,160418000,0,0,0,0
2014-02-02,0,0,0,0,0,0,0,0,0,0,10279200000,0,0,0,0,0,0,0,0,0,0,0,173367,59662500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570552000,0,0,2726040,0,0,0,0,0,0,44540600,0,66465300,0,65896400,0,0,0,124276000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584597,0,579702,0,0,0,0,0,0,0,162182000,0,0,0,0
2014-02-03,0,0,0,0,0,0,0,0,0,0,10174100000,0,0,0,0,0,0,0,0,0,0,0,164173,53467700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567762000,0,0,2323540,0,0,0,0,0,0,43180200,0,65918100,0,59958500,0,0,0,121585000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600555,0,999739,0,0,0,0,0,0,0,168326000,0,0,0,0
2014-02-04,0,0,0,0,0,0,0,0,0,0,10174000000,0,0,0,0,0,0,0,0,0,0,0,168871,54005800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556177000,0,0,1905770,0,0,0,0,0,0,42317700,0,63158300,0,49806000,0,0,0,117385000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,607535,0,2329270,0,0,0,0,0,0,0,167302000,0,0,0,0
2014-02-05,0,0,0,0,0,0,0,0,0,0,10254100000,0,0,0,0,0,0,0,0,0,0,641002,172212,50366800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,547538000,0,0,1910950,0,0,0,0,0,0,41710200,0,61736300,0,45967700,0,0,0,118298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580516,0,7094260,0,0,0,0,0,0,0,164552000,0,0,0,0
2014-02-06,0,0,0,0,0,0,0,0,0,0,10079900000,0,0,0,0,0,0,0,0,0,0,600764,155816,57574800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531339000,0,0,2945070,0,0,0,0,0,0,40563600,0,59320500,0,44154600,0,0,0,113145000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518573,0,8571370,0,0,0,0,0,0,0,159872000,0,0,0,0
